group	artifact	version	license	binary_files
androidx.compose.ui	ui-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-android-1.7.6.aar,ui-release.aar
androidx.compose.ui	ui-geometry	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-geometry-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-geometry-android-1.7.6.aar,ui-geometry-release.aar
androidx.compose.ui	ui-graphics	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-graphics-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-graphics-android-1.7.6.aar,ui-graphics-release.aar
androidx.compose.ui	ui-test	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-test-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-test-android-1.7.6.aar,ui-test-release.aar
androidx.compose.ui	ui-test-junit4	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-test-junit4-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-test-junit4-android-1.7.6.aar,ui-test-junit4-release.aar
androidx.compose.ui	ui-test-manifest	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-test-manifest-1.7.6.aar
androidx.compose.ui	ui-text	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-text-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-text-android-1.7.6.aar,ui-text-release.aar
androidx.compose.ui	ui-tooling	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.compose.ui	ui-tooling-android	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	ui-tooling-android-1.7.6.aar,ui-tooling-release.aar
androidx.compose.ui	ui-tooling-data	1.7.6	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
